ngrp,lvdate,exdate,mcode,int_loc
3,22mar1999,22mar1999,27,2
9,05apr1999,06apr1999,23,2
23,18apr1999,20apr1999,4,2
6,04apr1999,20apr1999,4,2
3,11apr1999,19apr1999,4,2
6,14apr1999,15apr1999,4,2
7,25mar1999,15apr1999,4,2
7,28mar1999,04apr1999,19,2
5,31mar1999,31mar1999,19,2
5,23mar1999,03apr1999,21,2
14,01apr1999,06apr1999,19,2
5,04apr1999,07apr1999,27,2
7,03apr1999,03apr1999,19,2
3,28mar1999,30mar1999,19,2
6,17apr1999,17apr1999,25,2
4,29mar1999,06apr1999,19,2
12,29mar1999,23apr1999,13,2
6,26apr1999,26apr1999,25,2
6,22mar1999,26apr1999,19,2
9,09apr1999,27apr1999,13,2
6,31mar1999,07apr1999,19,2
6,19mar1999,26apr1999,21,2
3,24apr1999,25apr1999,19,2
4,20mar1999,15apr1999,27,2
4,27mar1999,08apr1999,11,2
5,27apr1999,27apr1999,19,2
3,14apr1999,20apr1999,18,2
8,04apr1999,13apr1999,25,2
12,28mar1999,13apr1999,25,2
4,25apr1999,26apr1999,19,2
5,,19apr1999,19,2
4,,16apr1999,11,1
9,04apr1999,06apr1999,25,2
0,05apr1999,05apr1999,19,2
5,04apr1999,11apr1999,25,2
0,02mar1999,01apr1999,18,2
4,01apr1999,06apr1999,18,2
5,31mar1999,08apr1999,25,2
1,31mar1999,10apr1999,9,2
10,01apr1999,08apr1999,19,2
4,,,11,2
5,21mar1999,07apr1999,19,2
8,,,19,2
7,22mar1999,03apr1999,19,2
14,25mar1999,08apr1999,18,2
4,15apr1999,21apr1999,4,2
7,01apr1999,05apr1999,19,2
11,30mar1999,04apr1999,19,2
4,30mar1999,06apr1999,19,2
9,30mar1999,06apr1999,19,2
7,31mar1999,06apr1999,19,2
5,02apr1999,06apr1999,9,2
6,,,19,2
8,02apr1999,06apr1999,9,2
5,08mar1999,06apr1999,19,2
8,31mar1999,01apr1999,19,2
4,31mar1999,06apr1999,19,2
7,06apr1999,06apr1999,25,2
2,14jun1998,14apr1999,22,2
6,05apr1999,13apr1999,25,2
7,30mar1999,16apr1999,25,2
4,04apr1999,06apr1999,19,2
5,01apr1999,08apr1999,19,2
6,04apr1999,06apr1999,9,2
3,02apr1999,03apr1999,25,2
4,28mar1999,29mar1999,19,2
6,27mar1999,29mar1999,19,2
13,24mar1999,20apr1999,4,2
2,31mar1999,05apr1999,19,2
5,09apr1999,17apr1999,25,2
3,27mar1999,01apr1999,19,2
6,03apr1999,07apr1999,25,2
7,18apr1999,20apr1999,4,2
8,20mar1999,21apr1999,4,2
5,20mar1999,04apr1999,4,2
5,01apr1999,01apr1999,19,2
3,31mar1999,07apr1999,27,2
5,25may1998,30jun1998,22,2
6,29mar1999,15apr1999,25,2
7,27mar1999,01apr1999,25,2
13,04apr1999,05apr1999,4,2
9,14apr1999,15apr1999,19,2
5,10apr1999,11apr1999,25,2
4,04apr1999,07apr1999,19,2
8,28mar1999,02apr1999,25,2
4,14apr1999,14apr1999,25,2
13,26jul1998,02apr1999,22,2
16,10jun1998,14apr1999,22,2
11,05apr1999,15apr1999,25,2
4,28mar1999,08apr1999,13,2
4,31mar1999,14apr1999,25,2
2,19apr1999,19apr1999,4,2
2,20mar1999,01apr1999,19,2
3,23mar1999,01apr1999,19,2
