pcode,lvdate,exdate,ngrp,bos
19060,"01Aug98","01Aug98",7,1
19060,"15Oct98","15Oct99",6,1
19060,"05Apr99","05Apr99",6,1
19060,"23Mar99","23Mar99",2,1
19060,"04Apr99","04Apr99",2,1
19060,"24Mar99","24Mar99",5,1
19060,"20Oct98","20Oct98",1,1
19060,"27Mar99","24Mar99",4,1
19082,"28Mar99","01Jan99",5,1
19082,"01Jan99","",1,0
20014,"30Mar99","01Apr99",9,0
20041,"28Mar99","29Mar99",5,0
20083,"29Apr99","29Mar99",13,0
20000,"28Mar99","28Mar99",1,0
20000,"10Apr99","10Apr99",5,1
20000,"28Mar99","28Mar99",2,1
20046,"28Mar99","28Mar99",1,0
20111,"28Mar99","28Mar99",9,0
20041,"30Mar99","30Mar99",1,0
20041,"20Jan99","20Jan99",2,1
20000,"28May99","05Jun99",3,1
20000,"01Nov98","01Nov98",5,1
20014,"02Apr99","",2,0
20083,"30Mar99","30Mar99",1,0
20080,"28Mar99","29Mar99",5,0
20000,"01Nov98","01Aug98",6,1
20074,"25Sep98","25Sep98",1,1
20065,"31Mar99","31Mar99",2,0
20000,"25Oct98","25Oct98",1,1
20000,"01Apr99","01Apr99",0,0
20014,"31Mar99","31Mar99",1,0
20014,"04Apr99","04Apr99",5,0
20041,"13Mar99","13Mar99",1,1
20000,"01Apr99","10Apr99",1,1
20047,"31Mar99","31Mar99",0,0
20020,"28Mar99","29Mar99",7,0
20000,"24Mar99","24Mar99",5,1
20014,"02Apr99","02Apr99",8,0
20111,"","12Dec98",1,1
21050,"25Aug98","25Aug98",7,1
21000,"11Oct98","10Oct98",1,1
21002,"01Jul98","01Jul98",5,1
21042,"01Oct98","01Oct98",2,1
21031,"25Aug98","25Aug98",5,1
21047,"11Oct98","11Oct98",2,1
21050,"01Jun99","23Mar99",9,1
21031,"02Apr99","04Apr99",5,1
21033,"08Mar99","17Apr99",1,0
21000,"16Aug99","16Aug99",3,1
24072,"","01Apr99",3,0
24043,"12Dec98","12Dec98",1,1
24072,"","",3,0
24072,"02Oct98","01Oct98",1,1
25069,"13Nov98","13Nov98",1,1
25086,"20Mar99","20Mar99",5,1
25063,"05Feb99","05Feb99",1,1
25086,"01Dec98","01Dec98",1,1
25086,"28Aug98","28Aug98",4,1
27066,"","17Apr99",1,0
27066,"16Apr99","16Apr99",9,0
27066,"02Apr99","",2,0
27066,"16Apr99","17Apr99",1,0
27066,"17Apr99","18Apr99",8,0
27066,"16Apr99","17Apr99",4,0
27066,"16Apr99","18Apr99",4,0
27066,"16Apr99","17Apr99",2,0
-1,"","",2,0
-1,"13Oct98","13Oct98",2,1
-1,"15Apr99","16Apr99",2,0
-1,"","",1,0
-1,"","",1,0
-1,"13May98","01Aug98",2,1
-1,"13Oct99","01Oct98",4,1
-1,"26Feb99","26Feb99",2,1
-1,"27Jul98","15Feb99",6,1
-1,"25Dec98","25Dec98",11,1
-1,"","28Apr99",1,1
-1,"07Apr99","02Apr99",4,1
-1,"01Nov98","01Nov98",1,1
-1,"","",6,0
-1,"","",2,0
-1,"","",2,0
-1,"14Mar99","14Mar99",1,1
-1,"","16Apr99",1,0
-1,"05Apr99","25Mar99",1,1
-1,"","",2,0
-1,"13May98","",10,0
-1,"","27Apr99",2,0
-1,"16Jan99","16Jan99",1,1
-1,"21Jan99","21Jan99",1,1
-1,"02Oct98","03Oct98",1,1
-1,"","",1,0
-1,"27Mar99","27Mar99",2,1
-1,"","",1,0
-1,"24Mar99","27Mar99",1,1
-1,"02Apr99","",6,0
